gamma	sackin	colless	beta	blum	crown_age	tree_height	pigot_rho	number_of_lineages	nltt_base	phylogenetic_div	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	laplace_spectrum_a	laplace_spectrum_p	laplace_spectrum_e	laplace_spectrum_g	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	i_stat	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	var_depth	symmetry_nodes	mpd	psv	vpd	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext	model	extinction	combined
-6.643622	3078	1208	0.1513281	348.8141	10	10	0.06144626	300	0.6881173	935.6481	2.166667	3	104	92	45	0.5852843	-0.9644683	5.166163	9.294211	86	283	0.8020291	163.3071	6.447113	17.42404	10.26	0.4712025	0.4338438	26	16	102	175	0.6663401	69427	5.798395	180	18.05203	9.026013	10.24789	3.817706	0.06017342	397928460	2683144	113865	1.980615e-4	31	0.6901772	1.564629	1.764735	1.218095	1.908853	1.360987	1.933115	DDD	TRUE	DDD_TRUE
-5.977271	3399	1617	0.04827637	351.3954	10	10	-0.9564642	300	0.6299225	1110.233	2.419355	4	96	108	53	0.6187291	-1.224839	4.990493	9.279917	558	281	0.7262859	159.2884	5.853874	17.04783	11.33	0.5084623	0.478382	14	18	68	185	0.6472049	125853	9.606455	187	18.84392	9.421961	4.630785	4.356128	0.06281307	238595169	2720460	117941	2.088228e-4	30	0.6851749	1.856576	2.509589	1.532931	2.178064	1.942817	2.872867	DDD	TRUE	DDD_TRUE
-4.242666	2994	1202	0.2219922	352.9492	10	10	-0.7440694	300	0.6904737	928.5788	2.826087	7	95	110	53	0.638796	-1.279602	5.463105	9.289621	580	283	0.8245309	156.3001	6.795959	17.02965	9.98	0.5183539	0.4885529	24	16	86	191	0.6326986	65713	5.946087	193	18.41314	9.20657	7.785443	3.5397979999999998	0.06137713	377680851	2752170	106787	1.977062e-4	30	0.5550853	1.552807	1.858246	1.334259	1.7698989999999999	1.41506	2.209792	DDD	TRUE	DDD_TRUE
-4.310669	3171	1351	-0.1541467	355.0567	10	10	0.4466592	300	0.6870851	938.7447	2.4	4	103	94	50	0.6053512	-1.221588	4.766261	9.292624	564	280	0.778507	161.776	6.628452	18.14794	10.57	0.5064378	0.4582908	16	19	68	181	0.6451703	67097	9.08204	182	18.41641	9.208205	8.36123	3.562992	0.06138803	411350196	2746657	107915	1.982307e-4	35	0.705998	1.569807	1.987537	1.356697	1.781496	1.617437	2.271582	DDD	TRUE	DDD_TRUE
-5.912824	3382	1722	-0.07685791	353.2896	10	10	0.2848174	300	0.6594422	1021.673	2.272727	4	102	96	50	0.6153846	-1.01708	3.491554	9.2915	15	280	0.7299366	161.348	6.056347	17.36847	11.27333	0.4967942	0.4613138	14	19	68	184	0.6436985	116121	11.51032	184	18.1519	9.075948	6.728448	4.126903	0.06050632	223628199	2649446	108237	2.082981e-4	31	0.6952307	1.708484	2.314688	1.351134	2.063452	1.275465	3.101006	DDD	TRUE	DDD_TRUE
-5.861318	3022	1060	-0.227019	361.9419	10	10	-0.4966182	300	0.6722608	983.2175	2.461538	5	96	108	52	0.6254181	-1.21133	4.8753590000000004	9.296958	592	282	0.8168913	157.195	6.591354	17.70421	10.07333	0.5040007	0.4743669	26	17	92	187	0.6422996	54772	5.753802	188	18.72803	9.364014	8.081893	4.157826	0.06242676	424415697	2775878	112431	1.99349e-4	32	0.6698804	1.644176	2.233036	1.206522	2.078913	1.135148	2.95052	DDD	TRUE	DDD_TRUE
-5.240184	3056	1254	0.2926563	345.5423	10	10	-0.4966182	300	0.6805275	958.4176	2.153846	4	101	98	54	0.6053512	-1.168193	5.392074	9.297212	538	283	0.8078029	162.6826	6.362396	17.06497	10.18667	0.4645837	0.4539033	32	16	108	181	0.6583953	74190	5.142297	183	18.18532	9.092662	7.444322	3.689563	0.06061775	328063443	2693397	112899	2.029901e-4	29	0.7039285	1.602705	2.020703	1.359004	1.844782	1.713933	2.214191	DDD	TRUE	DDD_TRUE
-5.882162	3556	1754	-0.2549902	357.7489	10	10	-0.4519461	300	0.7063466	880.9603	2.25	4	100	100	53	0.5953177	-1.163232	5.409235	9.311198	5	279	0.6942198	161.6064	4.703955	18.07527	11.85333	0.4701105	0.4524119	30	20	84	178	0.6586533	126284	9.623902	180	17.77335	8.886676	9.437533	3.548101	0.05924451	364362162	2665963	105205	2.017558e-4	35	0.6255672	1.473178	1.5084	1.170286	1.77405	0.9052687	1.930278	DDD	TRUE	DDD_TRUE
-4.815293	2830	906	0.3984683	351.2673	10	10	0.6342617	300	0.7114641	865.6078	2.444444	4	98	104	45	0.6254181	-1.375219	5.866985	9.293893	593	281	0.8723129	158.0883	7.269463	16.63741	9.433333	0.5133851	0.465821	32	18	102	187	0.6415358	49991	4.600892	187	18.41737	9.208686	8.799984	3.410839	0.06139124	415776576	2790712	116839	1.971787e-4	32	0.6993482	1.447505	1.565919	1.187859	1.705419	1.159777	1.840647	DDD	TRUE	DDD_TRUE
-6.501244	3390	1594	-0.2017247	359.9651	10	10	-0.780271	300	0.6660312	1001.906	2.148148	3	97	106	50	0.6220736	-1.104951	4.350457	9.301433	587	281	0.728214	157.4396	5.02475	17.12312	11.3	0.5036898	0.4749012	20	18	78	186	0.640787	122819	8.491639	191	18.49556	9.24778	7.049764	4.123495	0.06165186	289134717	2722959	113235	2.027131e-4	30	0.7070969	1.675429	2.113589	1.286518	2.061747	1.447611	2.481693	DDD	TRUE	DDD_TRUE
