gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance model
0.844935 2960 1114 0.02500505 54896 0.6680591 342.724 10 10 0.8381582 300 0.8268016 519.5951 2.380952 4 101 9 18 98 53 0.6120401 -0.5537649 5.138331 9.3252 1 0.0000112941 15.45735 0.0000027221 6.722697 284 0.8340019 162.5366 6.762695 16.57534 9.866667 0.461139 0.4479796 24 15 8.884808 96 6.4 5322 2362 183 0.6625994 70818 4.911929 184 16.32901 8.164506 16.13209 1.661295 0.05443004 335958354 2623668 117765 0.0002017756 0.0002029057 28 0.2314876 0.6448664 0.8688881 0.7307856 0.9073851 0.8306477 0.7655446 0.6957589 0.5204067 0.7066667 BD
1.342378 3096 1308 0.02935961 86174 0.1719385 352.8498 10 10 0.4999584 300 0.805294 584.118 2.545455 5 99 7 16 102 50 0.6254181 -1.777224 6.21613 9.317957 1 0.0001786428 16.47038 0.0000013902 7.56987 283 0.7973662 158.8035 6.464233 16.78765 10.32 0.5023264 0.4674732 18 16 9.338898 88 5.5 5594 2498 187 0.6414397 86389 6.673177 189 17.21309 8.606546 12.418 1.838149 0.05737697 288643962 2743558 105957 0.000194704 0.0001949629 29 0.21876 0.7012755 0.9767859 1.112174 1.034885 0.9190745 1.434403 0.7891153 0.527968 0.8433333 BD
0.8664029 3286 1538 0.03452223 131690 0.0836084 347.4403 10 10 0.5614878 300 0.8131934 560.4198 2.05 3 106 8 17 88 51 0.6020067 -0.2044155 4.885289 9.327226 1 0.0002436532 17.58706 0.0000281814 7.827863 280 0.7512616 164.6578 6.275875 17.0437 10.95333 0.4712787 0.443701 16 19 9.973289 72 3.789474 5974 2688 180 0.657316 109052 9.803835 182 16.16613 8.083065 15.50668 1.705394 0.0538871 234795483 2569952 118727 0.000195733 0.0002069211 30 0.2467293 0.6977691 0.9371569 0.9117214 1.022183 0.8526972 1.049941 0.7631126 0.5435401 0.8466667 BD
0.3184482 3190 1344 0.03016767 56312 -0.3499681 366.6188 10 10 0.0809209 300 0.8276952 516.9144 2.666667 5 96 8 15 108 50 0.632107 -0.5770961 6.821465 9.327587 27 0.0000127854 17.88011 0.0000194682 8.129885 283 0.7738701 156.3893 6.113586 18.08223 10.63333 0.5170053 0.4797313 18 16 9.652755 82 5.125 5782 2592 189 0.6316171 71411 7.156076 191 16.19677 8.098385 22.2151 1.836381 0.05398923 406396020 2601552 104187 0.0001734004 0.0001824681 31 0.2186187 0.6883601 0.8644054 0.8501518 0.810259 0.9181907 0.679521 1.01666 0.4671125 0.5133333 BD
1.380441 3243 1535 0.03445489 127423 0.1439673 347.997 10 10 0.6342617 300 0.8102753 569.1741 2.45 4 105 11 18 90 45 0.6053512 -0.4497214 5.022038 9.324079 1 0.0000375053 17.54878 0.0007760593 7.972951 283 0.7612228 163.4203 6.316437 16.85122 10.81 0.4925379 0.4436207 14 16 9.829716 72 4.5 5888 2645 181 0.6543576 106940 7.960435 181 16.41082 8.205412 14.32742 1.826979 0.05470275 240658278 2608597 107219 0.0001959632 0.0002050576 27 0.2403644 0.6771456 0.9517962 0.9895762 0.9903598 0.9134896 1.025335 0.9544116 0.5185183 0.83 BD
0.9553578 3125 1341 0.03010033 52635 -0.2108252 359.602 10 10 -0.6172739 300 0.8245426 526.3721 2.625 6 106 15 9 88 38 0.5752508 -0.9218689 4.524928 9.320341 1 0.0003380614 14.86956 0.001722343 6.586456 279 0.7899666 162.5231 6.765858 17.72943 10.41667 0.5029415 0.4298734 22 20 9.435726 84 4.2 5652 2527 172 0.6526407 69605 9.78233 174 16.1199 8.05995 19.8795 1.69367 0.053733 378141117 2582087 109407 0.0001819174 0.0001930063 34 0.1996004 0.6658055 0.8802209 0.7911033 0.9138308 0.8468351 0.7339431 0.8482829 0.5173556 0.63 BD
0.9258761 3019 1135 0.02547642 40469 0.06888672 353.2137 10 10 0.7233296 300 0.8142824 557.1527 2.583333 6 97 9 22 106 54 0.6086957 -1.872938 8.978736 9.319022 1 0.0002559222 14.11106 0.00507519 6.676658 284 0.8177031 158.8678 6.470703 17.29166 10.06333 0.4959343 0.470129 22 15 9.081803 98 6.533333 5440 2421 182 0.6489601 63575 5.377246 186 17.25415 8.627073 15.13707 1.814286 0.05751382 365685927 2767102 118857 0.0001922707 0.0001898348 29 0.2163038 0.6890487 0.9316934 0.8974154 0.9564085 0.9071431 0.9006629 0.8959775 0.5115469 0.7 BD
-0.7018142 3355 1645 0.03692397 128921 -0.2476294 360.0224 10 10 -0.1957495 300 0.8113933 565.82 2.789474 5 101 10 15 98 46 0.6187291 -0.4238532 5.886021 9.326758 1 0.0003355096 16.44462 0.0003903887 7.441117 280 0.7358109 159.528 5.788479 17.56698 11.18333 0.4935666 0.4577548 18 19 10.20367 76 4 6112 2757 185 0.6425835 107633 10.33751 185 15.76369 7.881847 14.44319 1.939571 0.05254565 242448504 2494515 114187 0.0001864976 0.0002116659 32 0.2406343 0.7002572 0.9461872 0.9167186 0.9224305 0.9697856 0.893635 0.9415926 0.4858158 0.8966667 BD
1.039982 3255 1501 0.03369172 122945 0.1101074 347.323 10 10 0.7233296 300 0.8137373 558.7882 2.333333 4 106 11 14 88 49 0.5719064 -0.313302 4.99542 9.323392 4 0.0000428182 19.624 0.0003173541 9.057794 280 0.7584165 164.9634 5.806156 17.03133 10.85 0.4682775 0.4300401 22 19 9.869783 86 4.526316 5912 2657 171 0.668614 104695 7.713211 174 15.7389 7.869452 14.52509 1.713236 0.05246301 257755068 2494287 119067 0.0001958097 0.0002145299 32 0.2386605 0.6933527 0.9344285 0.9544502 1.012761 0.8566178 1.000463 0.8997469 0.5401024 0.8566667 BD
1.913744 3340 1574 0.0353303 129296 -0.01061035 353.0376 10 10 0.7233296 300 0.8218937 534.3189 2.75 5 98 9 21 104 51 0.632107 -0.1842361 4.117815 9.329371 585 0.0001490428 16.08931 0.0000170272 6.934057 280 0.7391155 159.1364 6.234383 17.45828 11.13333 0.5018642 0.4732182 20 19 10.15359 66 3.473684 6082 2742 189 0.6421738 107828 11.2932 189 16.21635 8.108176 15.77119 1.665597 0.0540545 274795428 2594622 118671 0.0001883594 0.0002080384 30 0.2315171 0.7033086 0.8935099 0.8200446 0.9546288 0.8327983 0.8801361 0.7556765 0.532415 0.7966667 BD
1.674664 3455 1643 0.03687908 201829 0.0423877 350.4773 10 10 -0.1856439 300 0.8319013 504.296 2.545455 4 101 11 19 98 50 0.6120401 -0.611381 4.291443 9.347289 2 0.0000454582 19.25297 0.0000027431 9.1079 283 0.7145139 161.8761 4.180206 16.61028 11.51667 0.4855984 0.4549595 22 16 10.53756 90 5.625 6312 2857 183 0.6538842 144037 5.668618 185 15.65887 7.829433 13.65165 1.542169 0.05219622 330764562 2512623 109049 0.0001964251 0.0002068529 28 0.234532 0.7058502 0.8433044 0.8318966 0.916009 0.7710845 1.06481 0.5928217 0.5412906 0.9933333 BD
-0.09520643 3121 1335 0.02996566 88369 0.1439673 352.4212 10 10 0.6342617 300 0.7965956 610.2133 2.483871 5 94 6 31 112 55 0.6488294 -1.276721 8.741198 9.321197 1 0.0000457791 14.55397 0.0000314554 6.796113 282 0.790979 156.6799 6.319046 16.90593 10.40333 0.5310559 0.5044026 18 17 9.422371 90 5.294118 5644 2523 194 0.624392 87474 6.830089 195 16.8439 8.421952 14.57748 2.111332 0.05614635 319953312 2661668 113165 0.0001956947 0.000191906 30 0.24083 0.7070851 1.020424 1.036017 0.9849448 1.055666 0.9447576 1.12763 0.4810015 0.9133333 BD
-0.4844996 3636 1874 0.04206415 254246 -0.08716309 352.2707 10 10 0.3195481 300 0.8278593 516.422 2.473684 4 102 10 16 96 52 0.6020067 0.7713246 6.017093 9.343348 12 0.0001410394 18.20787 0.001276303 7.837598 278 0.6789454 161.9981 5.034511 16.65226 12.12 0.4769491 0.4517083 26 21 11.1419 84 4 6674 3038 180 0.6562137 170155 9.838395 182 13.27031 6.635154 9.651563 1.740869 0.04423436 232401561 2076840 118405 0.0002021836 0.0002578253 32 0.242159 0.6766172 0.8635819 0.7257678 0.8566834 0.8704344 0.72152 0.73232 0.494347 0.9766667 BD
1.267878 3079 1247 0.02799039 46625 -0.1283838 361.593 10 10 -0.7540487 300 0.8087161 573.8518 2.46875 6 91 5 30 118 53 0.6622074 -1.72338 9.929111 9.317056 1 0.000218843 18.49196 0.0001763472 8.154613 282 0.8017686 153.1218 6.631042 17.55574 10.26333 0.5477223 0.5152678 20 17 9.282137 86 5.058824 5560 2481 198 0.613697 66623 7.458852 198 17.15558 8.577791 14.34885 1.96098 0.05718528 410294109 2739400 104919 0.0001799532 0.0001843887 34 0.2045417 0.6829425 0.9596184 1.004101 0.9386066 0.9804901 0.8788367 1.131009 0.4874164 0.5033333 BD
0.6563194 3082 1292 0.02900047 84644 0.1159961 352.1918 10 10 0.5614878 300 0.7970006 608.9983 2.416667 4 97 6 21 106 57 0.6421405 -1.5964 8.444574 9.319305 580 0.0000902791 17.05778 0.0001316542 7.885923 283 0.8009882 158.3115 6.329193 16.72812 10.27333 0.5099184 0.4864775 18 16 9.292154 86 5.375 5566 2484 192 0.6329578 85631 6.259487 193 17.4138 8.706902 11.95693 2.008625 0.05804601 276412773 2764637 118359 0.0002030869 0.0001965478 28 0.2436076 0.7055774 1.018392 1.089774 1.032565 1.004313 1.075895 1.106807 0.5052633 0.8133333 BD
0.4458617 3180 1442 0.0323674 84522 -0.06066406 356.9438 10 10 0.4999584 300 0.8082293 575.3122 2.310345 5 97 9 22 106 49 0.6421405 -1.27053 5.206102 9.323943 585 0.0002238162 20.74335 0.0004095684 9.017838 283 0.7763037 157.6965 6.337799 17.38635 10.6 0.5322595 0.488495 16 16 9.619366 76 4.75 5762 2582 192 0.6244623 85521 7.444816 192 17.38074 8.690369 15.53131 1.85951 0.0579358 303239097 2778917 110629 0.0001853568 0.0001860387 30 0.2343863 0.6971607 0.9620605 0.9009822 0.9945828 0.9297551 1.01651 0.7871389 0.5151736 0.8066667 BD
0.8867608 3185 1427 0.03203071 86499 -0.2373242 365.2286 10 10 0.7233296 300 0.8269656 519.1032 2.612903 6 88 4 29 124 58 0.6755853 -0.8614243 5.113126 9.322184 1 0.0003764922 16.6273 0.0000039548 7.446075 283 0.775085 151.7441 5.552124 17.37572 10.61667 0.5622429 0.5305502 22 16 9.63606 90 5.625 5772 2587 202 0.6043079 86507 5.896042 203 15.54888 7.774442 20.2183 1.820724 0.05182961 326379186 2484008 110721 0.0001891432 0.0002055388 29 0.2604191 0.5221071 0.8680656 0.8649207 0.8254852 0.910362 0.7805885 0.9479795 0.4738838 0.7033333 BD
-0.7487822 3098 1292 0.02900047 79274 0.01056906 356.5571 10 10 1 300 0.8266003 520.199 2.666667 4 97 11 25 106 44 0.6220736 0.3041996 7.287643 9.326838 1 0.0001924561 12.79388 0.002143814 5.806306 283 0.7968514 157.1366 6.390961 16.95487 10.32667 0.5313762 0.4764233 22 16 9.345576 96 6 5598 2500 186 0.635359 82938 6.133735 189 14.87725 7.438627 15.03135 1.905431 0.04959085 306674205 2362860 114439 0.0001962323 0.0002261115 28 0.2393152 0.6975809 0.869898 0.7356051 0.7865245 0.9527156 0.5631523 0.8955551 0.4505667 0.8833333 BD
