Family area_per_pair average_leaf_depth avg_ladder avg_vert_depth b1 b2 beta blum cherries colless colless_corr colless_quad crown_age diameter double_cherries eigen_centrality eigen_centralityW ew_colless four_prong gamma i_stat il_number imbalance_steps j_one j_stat laplace_spectrum_a laplace_spectrum_e laplace_spectrum_g laplace_spectrum_p max_adj max_betweenness max_closeness max_closenessW max_del_width max_depth max_ladder max_laplace max_width mean_branch_length mean_branch_length_ext mean_branch_length_int min_adj min_laplace mntd mpd mw_over_md nltt_base number_of_lineages phylogenetic_div pigot_rho pitchforks psv rogers root_imbalance rquartet sackin stairs stairs2 symmetry_nodes tot_coph tot_internal_path tot_path tree_height treeness var_branch_length var_branch_length_ext var_branch_length_int var_depth vpd wiener Taxa
Bucerotidae 11.1808566895822 7.04838709677419 2.71428571428571 6.11382113821138 31.3384920634921 5.0947265625 0.463427734375 68.9565655023717 18 165 0.0901639344262295 2169 33.512813 18 3 0.312774314173373 0.610410789798941 0.507760896510897 7 -2.39579839184694 0.525233676663295 26 50 0.844760117263127 0.845529569818325 -0.155710846942096 8.90195433814819 1 1.94630288733047 24.8121358903 4467 0.00145772594752187 0.000308381409216444 8 11 4 53.0205825359 22 5.30094263032787 7.05756496693548 3.48576621583333 0.7262112373 0.0111867463 14.1151319874194 52.4228333287361 2 0.688749270477083 62 646.7150009 0.124005241014415 10 26.2114166643681 38 0.709677419354839 554229 437 0.622950819672131 0.634153498292843 39 2757 315 752 33.512813 0.323397435746723 21.4263887009275 24.320880214911 12.2036042149721 3.85007932310947 297.483646017085 320489.23988652 Birds
Sturnidae 16.9703787026622 13.1102362204724 2.45454545454545 12.1660079051383 61.8984833578874 2.78907012939453 -1.17730346679687 180.538321668171 40 1075 0.136507936507936 59673 17.22349572 32 3 0.220882977641682 0.703901896007828 0.535323751984849 7 -4.32858765841824 0.656860543516549 47 106 0.533070843976015 0.210776782855982 -0.142529700657807 8.98584676321828 1 2.65303547274073 17.2594374102 20835 0.000434404865334492 0.000317732110778195 8 20 3 36.4091249976 24 2.94228701936508 4.21924973889764 1.64489289632 0.025525911 0.0001135561 8.43850166976377 26.7686514227097 1.2 0.661030543986261 127 741.45632888 0.332073700785213 17 13.3843257113548 82 0.992125984251969 9905652 1665 0.650793650793651 0.562114072133372 82 37005 1413 3078 17.22349572 0.277307784735731 8.72832113188117 10.1183393351937 4.019382403993 16.7020372453443 57.9121641152196 672748.78030504 Birds
Pycnonotidae 17.490937608923 11.6052631578947 2.23529411764706 10.6468646864686 73.4563005407046 3.85802340507507 -1.01462890625 204.619126107434 44 992 0.0875938189845475 44450 19.81991208 36 1 0.293117375750924 0.705246506277843 0.549332667612926 12 -4.9260588530867 0.59477418214746 64 128 0.624537971679946 0.191349442873657 -0.517102494384482 9.30216040452261 2 2.42922464022459 19.8701409815 30161 0.000350631136044881 0.000269106909209415 10 23 4 45.2237646676 42 3.48208182655629 4.99204454723684 1.9519862696 0.1464618485 0.000284583 9.98409108671052 29.0851153167959 1.82608695652174 0.650939572338072 152 1051.58871162 -0.394879180413664 27 14.542557658398 103 0.986842105263158 23842755 1764 0.682119205298013 0.574396550996441 104 32819 1462 3226 19.81991208 0.278433894548885 11.0980224675009 14.6802522371384 2.85939413009946 16.3597072150575 28.5785801561332 1021465.41833378 Birds
Furnariidae 18.0601787487587 16.8082706766917 2.39130434782609 15.8418079096045 138.828000764796 3.46865572407842 -0.744486083984375 339.496914936645 86 3127 0.0893939393939394 482265 32.91582291 35 6 0.233254968975511 0.706247365651686 0.511252805791272 22 -3.96196579201025 0.564921489523102 94 236 0.479245163910382 0.102413398410274 1.81523429563692 10.422444472803 1 2.60877579999732 34.8237339745 82409 0.000193274062620796 0.000150242009135775 8 29 4 73.3062231059 38 2.60728765179245 3.45532507834586 1.7528256992803 0.0231433904 0.0005076424 6.91065189691731 27.2419639771329 1.31034482758621 0.842174036186073 266 1381.86245545 0.625265719133906 48 13.6209819885665 171 0.996240601503759 95414880 4471 0.645283018867924 0.608961392115916 172 274142 3941 8412 32.91582291 0.334871233229437 7.11194564244895 10.2002904289506 2.56690476074749 34.7366860547595 84.6968535340068 3122932.4726497 Birds
Rhinocryptidae 11.8124467178176 9.7536231884058 2 8.83211678832117 37.8027528027528 4.13629150390625 -0.667197265625 81.1960037348443 25 373 0.163740122914838 14033 32.91582271 19 4 0.27086512834328 0.653861514094784 0.416723477755186 4 -2.83794659664363 0.477552170624524 19 53 0.626282596608757 0.519900299441047 1.69104843899634 9.02997716858207 6 2.48197170180833 24.3268032091 6119 0.00121212121212121 0.000465777476573768 6 15 2 55.8248580991 18 4.35670588279412 5.57971863391304 3.09718528835821 0.2095911766 0.0063395908 11.1594393910145 35.8731206614322 1.2 0.739118439406193 69 592.51200006 0.216995037638969 9 17.9365603307161 37 0.942028985507246 525384 673 0.544117647058823 0.674046956313849 37 9026 537 1210 32.91582271 0.350223141976849 12.9738733741433 14.3417952373776 8.58689551115085 12.8354646206309 212.43482567901 259409.09168816 Birds
Alcedinidae 15.7004153686397 9.71296296296296 2.5 8.76279069767442 53.8700831031714 5.29233551025391 -0.96751953125 140.84088996492 35 567 0.0999823664256745 11019 28.63365704 33 3 0.290641475848285 0.656618011616774 0.521722952652248 6 0.522412058400569 0.634419906243359 38 89 0.695450762853818 0.369468380151661 -0.0662971811469054 9.34948983725665 1 2.88231248403593 19.7042242029 13739 0.000551267916207277 0.000197039738774008 8 18 4 42.5371531748 26 2.40321355196262 2.85465559731481 1.94325373216981 0.1520683984 0.0017236371 5.70931215981481 39.9025850563794 1.44444444444444 0.833694900193107 108 514.28770012 0.449176895247627 14 19.9512925281897 69 0.657407407407407 5823210 1049 0.644859813084112 0.574792431110767 69 10763 835 1884 28.63365704 0.400524639344742 6.14019914507709 7.01378033508063 4.88525570339804 16.6177743163724 333.22590119801 817327.27251936 Birds
Leiothrichidae 13.4809751651857 8.74436090225564 2.375 7.7811320754717 74.5123376623377 5.088623046875 0.5193701171875 146.611487503115 49 449 0.0519315290307657 18787 13.36743792 22 6 0.257816462471403 0.692455385002095 0.405170191125051 7 -4.13376485961935 0.433855968910317 35 119 0.806837974137281 0.160393814326537 -0.345744719165085 8.78308851365812 5 3.81393722649868 11.6965302311 22889 0.000566893424036281 0.000382720305101061 14 13 4 25.7032245602 54 2.02688800909091 2.4176712793985 1.63013858198473 0.0856359672 0.0027771259 4.83534424496241 21.3323773054295 4.15384615384615 0.699022625138162 133 535.0984344 -0.16379772325694 19 10.6661886527147 75 0.962406015037594 13159023 1163 0.568181818181818 0.684941236807556 76 17590 899 2062 13.36743792 0.399082001574998 2.05105229604347 2.70166869209005 1.09134711006616 4.0250626566416 21.9142703815379 610241.98683054 Birds
Scolopacidae 13.9411512027491 9.70103092783505 2.42857142857143 8.75647668393782 49.1599317349318 4.3580322265625 -0.84371515683008 122.273049869231 31 507 0.111184210526316 17055 35.59601551 26 4 0.304588571957357 0.69652710489696 0.52081582915349 5 -5.33638660567242 0.630904702565644 35 80 0.680331079375294 0.608364368291883 -0.405521353563967 9.41878338265455 13 2.68617778590046 31.1041437639 11399 0.000718907260963336 0.000195336327151511 4 16 5 67.7671326585 20 6.56474751026042 9.01786930474227 4.05998104642105 0.7964991649 0.002078422 18.0357412171134 59.0113437243127 1.25 0.634955222749702 97 1260.43152197 -0.102682462480786 14 29.5056718621563 60 0.907216494845361 2855745 941 0.625 0.587817931049928 60 12713 749 1690 35.59601551 0.306004882206667 27.4633900273273 27.5009720586384 15.1667097308953 10.7742697594502 175.917956690388 861409.17715898 Birds
Podicipedidae 7.54978354978355 5.90909090909091 3 5.06976744186047 12.5095238095238 3.234375 -0.514091796875 21.7865211705253 9 60 0.285714285714286 654 37.16328949 12 2 0.374873919704193 0.695892084079411 0.386550116550117 1 -1.31258992557084 0.562442607897153 4 13 0.754673043154004 2.3844281443231 0.741745128365939 7.95579049367119 2 1.59277272985003 31.9507708702 539 0.0062111801242236 0.000972211156648516 2 8 3 73.8162683118 8 8.05876087452381 9.477930985 6.497673753 1.4810307516 0.0230986024 18.9558629927273 52.4574191751082 1 0.586018690019284 22 338.46795673 0.0836861800173478 1 26.2287095875541 10 0.909090909090909 4593 130 0.476190476190476 0.687412587412587 10 493 88 218 37.16328949 0.383946168244415 33.4485341811727 30.0260680475311 34.0944025660979 4.27705627705628 322.980814280454 35213.24993674 Birds
Strigidae 19.0995939630736 11.1877729257642 2.76190476190476 10.2144420131291 108.86283746783 5.01173400878906 -1.01462890625 311.561786657685 66 1300 0.0502357214622459 35872 41.51749407 40 6 0.262393758679753 0.703192509173733 0.556458918657059 16 -6.88308011894172 0.647381940748246 97 207 0.700693859279547 0.297617160797909 -0.517211147702245 10.4372859016414 1 4.57141401772056 33.3117760364 68279 0.000219925225423356 0.000064024380303686 18 21 6 69.8460744065 58 5.54907810070175 7.94398703816594 3.13306864396476 0.0090896076 0.0001151379 15.8879759777293 68.1543298227212 2.76190476190476 0.733854543701314 229 2530.37961392 -0.0980481408372515 34 34.0771649113606 152 0.633187772925764 132277482 2562 0.666666666666667 0.561080210627276 154 42761 2106 4668 41.51749407 0.281067148291721 27.3705343336411 29.2047939065054 13.9664964020177 13.0830077376848 316.932173808602 5977048.8864521 Birds
